Wall time,Step,Value
1748157798.6467452,268281,-69.51851654052734
1748157810.6160588,270935,-65.12553405761719
1748157813.2349632,272939,-61.539791107177734
1748157814.333913,273947,-65.75337219238281
1748157826.5759022,276298,-63.64467239379883
1748157831.6865313,278873,-61.064327239990234
1748157833.1760461,279684,-58.837738037109375
1748157849.1667807,281413,-54.21165084838867
1748157852.7816634,283611,-46.29070281982422
1748157854.359453,284447,-42.562503814697266
1748157869.9167414,287095,-41.0411376953125
1748157872.8606083,288861,-44.448753356933594
1748157889.161339,292159,-37.04978942871094
1748157889.9466825,292954,-37.55121994018555
1748157891.3877058,294180,-35.186153411865234
1748157909.5834398,296248,-32.50395584106445
1748157913.6615908,298531,-30.800155639648438
1748157933.1955967,301315,-26.866336822509766
1748157936.26536,303230,-20.044191360473633
1748157938.8664496,304985,-21.42439079284668
1748157952.57222,306667,-23.243947982788086
1748157956.0820608,309249,-21.613445281982422
1748157975.2634625,312228,-17.44087028503418
1748157978.8426914,314565,-11.149312019348145
1748157999.8519967,317883,-10.596580505371094
1748158018.3356283,320254,-13.297324180603027
1748158022.0110548,322427,-14.86263370513916
1748158025.7921,324434,-17.60619354248047
1748158040.408909,326069,-17.148725509643555
1748158046.5071378,328692,-9.91303539276123
1748158063.4061337,331721,-8.820533752441406
1748158069.0259514,334175,-6.54373025894165
1748158083.8703718,335834,-9.260238647460938
1748158089.5403676,338708,-14.461565971374512
1748158108.7656457,341213,-16.928537368774414
1748158111.9094133,343412,-15.142247200012207
1748158133.0928564,346741,-10.1133394241333
1748158136.186447,349141,-14.429134368896484
1748158156.3214881,352231,-13.579455375671387
1748158159.7604132,354605,-13.872054100036621
1748158181.9989023,357382,-13.427295684814453
1748158209.840269,362000,-10.096380233764648
1748158237.3552895,366000,-11.3091402053833
1748158243.7644768,369277,-13.023300170898438
1748158277.354174,373984,-11.961164474487305
1748158305.067313,377014,-11.032065391540527
1748158334.7023957,381000,-8.652992248535156
1748158339.469012,384106,-10.113343238830566
1748158366.9018214,387723,-16.15167236328125
1748158393.3887234,391000,-18.982622146606445
1748158398.3969626,394305,-11.87149715423584
1748158423.5863628,396976,-12.00869369506836
1748158452.184029,401000,-12.018274307250977
1748158455.5125742,402931,-11.756696701049805
1748158482.0437276,407000,-16.874540328979492
1748158510.164426,411000,-19.487119674682617
1748158513.8091762,413146,-15.987528800964355
1748158538.9819927,415550,-17.8709774017334
1748158545.7075374,418710,-16.997594833374023
1748158575.5526326,421783,-12.152978897094727
1748158580.2540205,424820,-12.809901237487793
1748158606.3648767,427636,-15.31850814819336
1748158628.7280269,430353,-16.52021598815918
1748158632.9482975,433045,-12.294700622558594
1748158658.2845843,436158,-10.358076095581055
1748158663.4812224,439517,-10.004507064819336
1748158691.8486948,444000,-12.11201000213623
1748158720.9836392,446870,-16.295289993286133
1748158750.3128839,450477,-21.79104995727539
1748158757.567959,454477,-22.45901870727539
1748158793.7279038,459000,-22.402202606201172
1748158827.7205453,462720,-21.255992889404297
1748158864.93465,467000,-25.07927703857422
1748158899.3688867,471000,-19.59906578063965
1748158904.452251,474122,-19.224971771240234
1748158934.8500361,478167,-22.97148323059082
1748158971.5513234,482620,-20.719690322875977
1748159004.0345607,486128,-14.045671463012695
1748159009.0002346,489325,-6.158430099487305
1748159042.9907448,493735,-3.973292112350464
1748159079.3217583,497744,1.2536141872406006
